fdc_id,data_type,description,food_category_id
320001,sub_sample_food,Hummus - NFY121420,16
320002,sub_sample_food,Hummus - NFY121421,16
320003,sub_sample_food,Hummus - NFY12141P,16
320004,sub_sample_food,"Hummus, Tribe Classic - KY, PA",16
320005,sample_food,"HUMMUS, OTHER",16
320006,market_acquisition,"HUMMUS, OTHER",16
320007,market_acquisition,"HUMMUS, OTHER",16
320008,market_acquisition,"HUMMUS, OTHER",16
320009,market_acquisition,"HUMMUS, OTHER",16
320010,market_acquisition,"HUMMUS, OTHER",16
320011,sub_sample_food,Hummus - NFY12142M,16
320012,sub_sample_food,Hummus - NFY12142N,16
320013,sub_sample_food,Hummus,16
320014,sub_sample_food,Hummus,16
320015,sub_sample_food,Hummus,16
320016,sub_sample_food,Hummus,16
320017,sub_sample_food,Hummus,16
320018,sub_sample_food,Hummus - NFY12142O,16
320019,sub_sample_food,Hummus - NFY12142P,16
320020,sub_sample_food,Hummus - NFY12142Q,16
320021,sub_sample_food,Hummus - NFY12142R,16
320022,sub_sample_food,Hummus - NFY12142G,16
320023,sub_sample_food,"Hummus, Other - AZ, IN",16
320025,sample_food,"MILK, 2% (WAVE 22E)",1
320026,market_acquisition,"MILK, 2% (WAVE 22E)",1
320027,sub_sample_food,"MILK, 2% ",1
320028,sub_sample_food,"MILK, 2% ",1
320029,sub_sample_food,"MILK, 2% ",1
320030,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320031,sample_food,"MILK, 2% (WAVE 22E)",1
320032,market_acquisition,"MILK, 2% (WAVE 22E)",1
320033,sub_sample_food,"MILK, 2% ",1
320034,sub_sample_food,"MILK, 2% ",1
320035,sub_sample_food,"MILK, 2% ",1
320036,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320037,sample_food,"MILK, 2% (WAVE 22E)",1
320038,market_acquisition,"MILK, 2% (WAVE 22E)",1
320039,sub_sample_food,"MILK, 2% ",1
320040,sub_sample_food,"MILK, 2% ",1
320041,sub_sample_food,"MILK, 2% ",1
320042,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320043,sample_food,"MILK, 2% (WAVE 22E)",1
320044,market_acquisition,"MILK, 2% (WAVE 22E)",1
320045,sub_sample_food,"MILK, 2% ",1
320046,sub_sample_food,"MILK, 2% ",1
320047,sub_sample_food,"MILK, 2% ",1
320048,sub_sample_food,"MILK, 2% ",1
320049,sub_sample_food,"MILK, 2% ",1
320050,sub_sample_food,"MILK, 2% ",1
320051,sub_sample_food,"MILK, 2% ",1
320052,sub_sample_food,"MILK, 2% ",1
320053,sub_sample_food,"MILK, 2% ",1
320054,sub_sample_food,"MILK, 2% ",1
320055,sub_sample_food,"Milk, 2%",1
320056,sub_sample_food,"Milk, 2%",1
320057,sub_sample_food,"Milk, 2%",1
320058,sub_sample_food,"Milk, 2%",1
320059,sub_sample_food,"Milk, 2%",1
320060,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320061,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320062,sample_food,"MILK, 2% (WAVE 22E)",1
320063,market_acquisition,"MILK, 2% (WAVE 22E)",1
320064,sub_sample_food,"MILK, 2% ",1
320065,sub_sample_food,"MILK, 2% ",1
320066,sub_sample_food,"MILK, 2% ",1
320067,sub_sample_food,"MILK, 2% ",1
320068,sub_sample_food,"MILK, 2% ",1
320069,sub_sample_food,"MILK, 2% ",1
320070,sub_sample_food,"MILK, 2% ",1
320071,sub_sample_food,"MILK, 2% ",1
320072,sub_sample_food,"MILK, 2% ",1
320073,sub_sample_food,"MILK, 2% ",1
320074,sub_sample_food,"MILK, 2% ",1
320075,sub_sample_food,"MILK, 2% ",1
320076,sub_sample_food,"MILK, 2% ",1
320077,sub_sample_food,"Milk, 2%",1
320078,sub_sample_food,"Milk, 2%",1
320079,sub_sample_food,"Milk, 2%",1
320080,sub_sample_food,"Milk, 2%",1
320081,sub_sample_food,"Milk, 2%",1
320082,sub_sample_food,"Milk, 2%",1
320083,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320084,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320085,sample_food,"MILK, 2% (WAVE 22E)",1
320086,market_acquisition,"MILK, 2% (WAVE 22E)",1
320087,sub_sample_food,"MILK, 2% ",1
320088,sub_sample_food,"MILK, 2% ",1
320089,sub_sample_food,"MILK, 2% ",1
320090,sub_sample_food,"MILK, 2% ",1
320091,sub_sample_food,"MILK, 2% ",1
320092,sub_sample_food,"MILK, 2% ",1
320093,sub_sample_food,"MILK, 2% ",1
320094,sub_sample_food,"MILK, 2% ",1
320095,sub_sample_food,"MILK, 2% ",1
320096,sub_sample_food,"MILK, 2% ",1
320097,sub_sample_food,"Milk, 2%",1
320098,sub_sample_food,"Milk, 2%",1
320099,sub_sample_food,"Milk, 2%",1
320100,sub_sample_food,"Milk, 2%",1
320101,sub_sample_food,"Milk, 2%",1
320102,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320103,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320104,sample_food,"MILK, 2% (WAVE 22E)",1
320105,market_acquisition,"MILK, 2% (WAVE 22E)",1
320106,sub_sample_food,"MILK, 2% ",1
320107,sub_sample_food,"MILK, 2% ",1
320108,sub_sample_food,"MILK, 2% ",1
320109,sub_sample_food,"MILK, 2% ",1
320110,sub_sample_food,"MILK, 2% ",1
320111,sub_sample_food,"MILK, 2% ",1
320112,sub_sample_food,"MILK, 2% ",1
320113,sub_sample_food,"MILK, 2% ",1
320114,sub_sample_food,"MILK, 2% ",1
320115,sub_sample_food,"MILK, 2% ",1
320116,sub_sample_food,"Milk, 2%",1
320117,sub_sample_food,"Milk, 2%",1
320118,sub_sample_food,"Milk, 2%",1
320119,sub_sample_food,"Milk, 2%",1
320120,sub_sample_food,"Milk, 2%",1
320121,sub_sample_food,"Milk, 2%",1
320122,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320123,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320124,sample_food,"MILK, 2% (WAVE 22E)",1
320125,market_acquisition,"MILK, 2% (WAVE 22E)",1
320126,sub_sample_food,"MILK, 2% ",1
320127,sub_sample_food,"MILK, 2% ",1
320128,sub_sample_food,"MILK, 2% ",1
320129,sub_sample_food,"MILK, 2% ",1
320130,sub_sample_food,"MILK, 2% ",1
320131,sub_sample_food,"MILK, 2% ",1
320132,sub_sample_food,"MILK, 2% ",1
320133,sub_sample_food,"MILK, 2% ",1
320134,sub_sample_food,"MILK, 2% ",1
320135,sub_sample_food,"MILK, 2% ",1
320136,sub_sample_food,"Milk, 2%",1
320137,sub_sample_food,"Milk, 2%",1
320138,sub_sample_food,"Milk, 2%",1
320139,sub_sample_food,"Milk, 2%",1
320140,sub_sample_food,"Milk, 2%",1
320141,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320142,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320143,sample_food,"MILK, 2% (WAVE 22E)",1
320144,market_acquisition,"MILK, 2% (WAVE 22E)",1
320145,sub_sample_food,"MILK, 2% ",1
320146,sub_sample_food,"MILK, 2% ",1
320147,sub_sample_food,"MILK, 2% ",1
320148,sub_sample_food,"MILK, 2% ",1
320149,sub_sample_food,"MILK, 2% ",1
320150,sub_sample_food,"MILK, 2% ",1
320151,sub_sample_food,"MILK, 2% ",1
320152,sub_sample_food,"MILK, 2% ",1
320153,sub_sample_food,"MILK, 2% ",1
320154,sub_sample_food,"MILK, 2% ",1
320155,sub_sample_food,"MILK, 2% ",1
320156,sub_sample_food,"MILK, 2% ",1
320157,sub_sample_food,"MILK, 2% ",1
320158,sub_sample_food,"Milk, 2%",1
320159,sub_sample_food,"Milk, 2%",1
320160,sub_sample_food,"Milk, 2%",1
320161,sub_sample_food,"Milk, 2%",1
320162,sub_sample_food,"Milk, 2%",1
320163,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320164,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320165,sample_food,"MILK, 2% (WAVE 22E)",1
320166,market_acquisition,"MILK, 2% (WAVE 22E)",1
320167,sub_sample_food,"MILK, 2% ",1
320168,sub_sample_food,"MILK, 2% ",1
320169,sub_sample_food,"MILK, 2% ",1
320170,sub_sample_food,"MILK, 2% ",1
320171,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320172,sample_food,"MILK, 2% (WAVE 22E)",1
320173,market_acquisition,"MILK, 2% (WAVE 22E)",1
320174,sub_sample_food,"MILK, 2% ",1
320175,sub_sample_food,"MILK, 2% ",1
320176,sub_sample_food,"MILK, 2% ",1
320177,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320178,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320179,sample_food,"MILK, 2% (WAVE 22E)",1
320180,market_acquisition,"MILK, 2% (WAVE 22E)",1
320181,sub_sample_food,"MILK, 2% ",1
320182,sub_sample_food,"MILK, 2% ",1
320183,sub_sample_food,"MILK, 2% ",1
320184,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320185,sample_food,"MILK, 2% (WAVE 22E)",1
320186,market_acquisition,"MILK, 2% (WAVE 22E)",1
320187,sub_sample_food,"MILK, 2% ",1
320188,sub_sample_food,"MILK, 2% ",1
320189,sub_sample_food,"MILK, 2% ",1
320190,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320191,sample_food,"MILK, 2% (WAVE 22E)",1
320192,market_acquisition,"MILK, 2% (WAVE 22E)",1
320193,sub_sample_food,"MILK, 2% ",1
320194,sub_sample_food,"MILK, 2% ",1
320195,sub_sample_food,"MILK, 2% ",1
320196,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320197,sample_food,"MILK, 2% (WAVE 22E)",1
320198,market_acquisition,"MILK, 2% (WAVE 22E)",1
320199,sub_sample_food,"MILK, 2% ",1
320200,sub_sample_food,"MILK, 2% ",1
320201,sub_sample_food,"MILK, 2% ",1
320202,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320203,sample_food,"MILK, 2% (WAVE 22E)",1
320204,market_acquisition,"MILK, 2% (WAVE 22E)",1
320205,sub_sample_food,"MILK, 2% ",1
320206,sub_sample_food,"MILK, 2% ",1
320207,sub_sample_food,"MILK, 2% ",1
320208,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320209,sub_sample_food,"MILK, 2% (WAVE 22E)",1
